swing_file,session_id,stroke_label,peak_abs_X,peak_abs_Y,peak_abs_Z,sign_Z_at_peak,duration_ms,Z_over_X,Z_over_Y,X_over_Y
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx01.csv,backhands_watch-right,backhand,7.848593235015869,9.74103832244873,9.918323516845703,-1.0,3900.0,1.2637071663487285,1.0181998251652917,0.8057245003264567
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx02.csv,backhands_watch-right,backhand,10.12269687652588,11.71867847442627,13.072875022888184,-1.0,3550.0,1.2914419133900616,1.1155588107837573,0.863808739067011
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx03.csv,backhands_watch-right,backhand,8.459281921386719,11.35363483428955,12.1630859375,-1.0,3510.0,1.4378390566165362,1.0712944457898006,0.7450725732202091
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx04.csv,backhands_watch-right,backhand,8.07852554321289,11.16661262512207,12.054245948791504,-1.0,3760.0,1.492134410457956,1.0794899360682113,0.7234535498292687
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx05.csv,backhands_watch-right,backhand,9.223503112792969,10.771327018737791,11.978201866149902,-1.0,3530.0,1.2986607929406102,1.112045140335321,0.8563014656177248
../processed/swings_segments/backhand/backhand_backhands_watch-right_idx06.csv,backhands_watch-right,backhand,8.75273609161377,10.835694313049316,11.798583984375,-1.0,3170.0,1.3479880874826717,1.0888627570608083,0.8077688276119914
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx01.csv,forehands_watch-right,forehand,17.11250877380371,13.168766021728516,12.494894981384276,1.0,5390.0,0.7301614945268456,0.9488280800773322,1.2994770159609492
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx02.csv,forehands_watch-right,forehand,17.44550323486328,14.311833381652832,12.4962158203125,1.0,4770.0,0.7163001062267971,0.8731387158497892,1.218956563400723
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx03.csv,forehands_watch-right,forehand,14.70289134979248,14.645544052124023,10.938838958740234,1.0,4870.0,0.7439923684734722,0.7469056062245628,1.0039156823033926
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx04.csv,forehands_watch-right,forehand,17.036895751953125,16.0157527923584,11.82660961151123,1.0,4530.0,0.6941763208332961,0.7384360738356341,1.0637586614150254
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx05.csv,forehands_watch-right,forehand,16.223243713378906,15.031283378601074,11.606611251831056,1.0,4690.0,0.7154309863605989,0.7721636908498798,1.0792986403592615
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx06.csv,forehands_watch-right,forehand,15.265299797058104,15.702816009521484,8.832018852233887,1.0,4960.0,0.5785683196301179,0.5624480887299798,0.9721377228009237
../processed/swings_segments/forehand/forehand_forehands_watch-right_idx07.csv,forehands_watch-right,forehand,14.820273399353027,16.16221046447754,10.497689247131348,1.0,4880.0,0.7083330357177905,0.6495206376753921,0.9169706972895869
../processed/swings_segments/serve/serve_serves_watch-right_idx01.csv,serves_watch-right,serve,15.772878646850586,10.972126007080078,15.716729164123535,-1.0,4540.0,0.9964401245971507,1.4324233201461471,1.437540786231646
../processed/swings_segments/serve/serve_serves_watch-right_idx02.csv,serves_watch-right,serve,21.449203491210938,13.73649787902832,20.526199340820312,-1.0,4810.0,0.9569679055556148,1.494281841091237,1.5614753978856357
../processed/swings_segments/serve/serve_serves_watch-right_idx03.csv,serves_watch-right,serve,21.12469482421875,13.757942199707031,19.818296432495117,-1.0,4300.0,0.9381577626283202,1.440498596724526,1.5354545409173612
../processed/swings_segments/serve/serve_serves_watch-right_idx04.csv,serves_watch-right,serve,18.094350814819336,14.49874782562256,18.89902114868164,-1.0,4450.0,1.0444708042912088,1.3034933344576698,1.2479940359292638
../processed/swings_segments/serve/serve_serves_watch-right_idx05.csv,serves_watch-right,serve,24.172422409057617,17.05219841003418,20.75579071044922,-1.0,5000.0,0.8586558003666129,1.2171914853064165,1.4175546066150404
../processed/swings_segments/serve/serve_serves_watch-right_idx06.csv,serves_watch-right,serve,16.425867080688477,13.334256172180176,18.187915802001953,-1.0,3970.0,1.1072727979995087,1.3639992787860318,1.231854770793924
../processed/swings_segments/serve/serve_serves_watch-right_idx07.csv,serves_watch-right,serve,15.873941421508787,11.756897926330566,17.689687728881836,-1.0,4220.0,1.1143853476057786,1.5046220388852987,1.3501811039762244
